Date,Open,High,Low,Close,Adj Close,Volume
2020-11-27,10.380000,10.380000,9.720000,9.750000,9.750000,57700
2020-11-30,9.750000,9.820000,9.740000,9.800000,9.800000,15000
2020-12-01,10.050000,10.145000,9.800000,9.810000,9.810000,39100
2020-12-02,9.810000,9.820000,9.770000,9.790000,9.790000,2600
2020-12-03,9.967000,9.967000,9.770000,9.820000,9.820000,72100
2020-12-04,9.820000,9.920000,9.820000,9.920000,9.920000,101800
2020-12-07,9.950000,10.187000,9.920000,9.930000,9.930000,37600
2020-12-08,9.920000,9.938000,9.880000,9.938000,9.938000,13600
2020-12-09,9.972000,9.972000,9.900000,9.950000,9.950000,133600
2020-12-10,9.972000,9.990000,9.920000,9.960000,9.960000,211900
2020-12-11,9.980000,10.010000,9.950000,9.970000,9.970000,81000
