Date,Open,High,Low,Close,Adj Close,Volume
2020-07-23,9.960000,10.010000,9.950000,10.000000,10.000000,10030900
2020-07-24,10.000000,10.050000,9.980000,10.030000,10.030000,236600
2020-07-27,10.050000,11.020000,10.023000,10.180000,10.180000,232900
2020-07-28,10.180000,10.180000,10.050000,10.100000,10.100000,175100
2020-07-29,10.120000,10.140000,10.054000,10.100000,10.100000,60800
2020-07-30,10.120000,10.120000,10.000000,10.010000,10.010000,283200
2020-07-31,10.030000,10.050000,9.950000,9.990000,9.990000,549200
2020-08-03,10.040000,10.040000,9.970000,10.000000,10.000000,211600
2020-08-04,10.040000,10.040000,9.960000,10.000000,10.000000,608200
2020-08-05,10.000000,10.000000,9.980000,10.000000,10.000000,366100
2020-08-06,10.000000,10.027000,9.990000,9.990000,9.990000,69300
2020-08-07,9.990000,10.010000,9.980000,9.993000,9.993000,17100
2020-08-10,10.050000,10.050000,9.990000,10.030000,10.030000,32900
2020-08-11,10.011000,10.040000,10.010000,10.010000,10.010000,5400
2020-08-12,10.010000,10.030000,9.910000,9.970000,9.970000,139200
2020-08-13,9.994000,10.050000,9.994000,10.015000,10.015000,68100
2020-08-14,9.985000,9.990000,9.985000,9.985000,9.985000,2900
2020-08-17,10.030000,10.030000,10.000000,10.000000,10.000000,44600
2020-08-18,9.994000,10.009000,9.985000,9.987000,9.987000,320200
2020-08-19,9.980000,10.000000,9.970000,9.990000,9.990000,11000
2020-08-20,9.980000,9.980000,9.950000,9.980000,9.980000,21700
2020-08-21,9.958000,9.975000,9.950000,9.971000,9.971000,4500
2020-08-24,9.960000,9.960000,9.940000,9.952000,9.952000,71800
2020-08-25,9.968000,9.970000,9.932000,9.950000,9.950000,11500
2020-08-26,9.950000,9.980000,9.950000,9.961000,9.961000,8200
2020-08-27,9.968000,9.968000,9.940000,9.940000,9.940000,11900
2020-08-28,9.970000,9.970000,9.897000,9.897000,9.897000,44600
2020-08-31,9.960000,9.960000,9.870000,9.899000,9.899000,82500
2020-09-01,9.900000,9.914000,9.860000,9.910000,9.910000,102500
2020-09-02,9.890000,9.930000,9.890000,9.930000,9.930000,4000
2020-09-03,9.925000,9.965000,9.870000,9.930000,9.930000,21700
2020-09-04,9.980000,10.000000,9.920000,9.920000,9.920000,12700
2020-09-08,9.950000,9.990000,9.930000,9.990000,9.990000,43300
2020-09-09,9.980000,10.000000,9.950000,9.960000,9.960000,62300
2020-09-10,10.000000,10.000000,9.910000,9.910000,9.910000,85300
2020-09-11,9.941000,10.000000,9.915000,9.950000,9.950000,546100
2020-09-14,9.970000,10.010000,9.950000,10.000000,10.000000,493600
2020-09-15,10.000000,10.090000,10.000000,10.030000,10.030000,329500
2020-09-16,10.020000,10.150000,10.020000,10.090000,10.090000,526300
2020-09-17,10.100000,10.120000,10.050000,10.070000,10.070000,820200
2020-09-18,10.200000,10.200000,10.020000,10.050000,10.050000,141200
2020-09-21,10.050000,10.150000,10.050000,10.110000,10.110000,399200
2020-09-22,10.130000,10.130000,10.050000,10.100000,10.100000,14700
2020-09-23,10.070000,10.070000,10.020000,10.060000,10.060000,18500
2020-09-24,10.065000,10.070000,10.020000,10.060000,10.060000,16500
2020-09-25,9.960000,10.150000,9.960000,10.110000,10.110000,6100
2020-09-28,10.040000,10.250000,10.040000,10.070000,10.070000,11700
2020-09-29,10.150000,10.150000,10.070000,10.070000,10.070000,10700
2020-09-30,10.120000,10.150000,10.090000,10.090000,10.090000,5500
2020-10-01,10.150000,10.150000,10.000000,10.000000,10.000000,218600
2020-10-02,10.000000,10.060000,9.975000,9.995000,9.995000,672600
2020-10-05,10.000000,10.060000,9.980000,10.000000,10.000000,18600
2020-10-06,10.040000,10.090000,10.000000,10.010000,10.010000,43400
2020-10-07,10.030000,10.030000,9.970000,9.970000,9.970000,1500
2020-10-08,10.050000,10.050000,9.993000,9.993000,9.993000,2000
