Date,Open,High,Low,Close,Adj Close,Volume
2020-11-19,21.900000,22.200001,18.080000,20.290001,20.290001,9854500
2020-11-20,20.700001,21.070000,19.059999,19.059999,19.059999,1712400
2020-11-23,19.740000,20.700001,19.500000,20.389999,20.389999,1035000
2020-11-24,20.730000,20.889999,20.000000,20.100000,20.100000,649000
2020-11-25,20.150000,20.350000,19.799999,20.059999,20.059999,587700
2020-11-27,20.580000,20.950001,19.910000,20.000000,20.000000,612200
2020-11-30,20.590000,20.660000,19.950001,20.070000,20.070000,1037700
2020-12-01,20.070000,24.830000,20.020000,23.350000,23.350000,3184100
2020-12-02,22.799999,23.750000,21.299999,22.129999,22.129999,1039600
2020-12-03,22.389999,23.090000,22.025000,22.510000,22.510000,542100
2020-12-04,22.820999,24.000000,22.219999,22.430000,22.430000,990500
2020-12-07,21.690001,21.948999,19.900000,20.350000,20.350000,1989700
2020-12-08,20.400000,20.809999,20.209999,20.340000,20.340000,708000
2020-12-09,20.309999,20.500000,19.500000,19.799999,19.799999,983400
2020-12-10,19.850000,20.200001,19.260000,19.549999,19.549999,741800
2020-12-11,19.299999,20.400000,19.059999,20.190001,20.190001,689700
